DateTime,Phosphorous,Potassium,Food
9/27/2024 10:32,61,206,
9/28/2024 10:24,84,232,
9/29/2024 16:54,104,410,
9/30/2024 6:51,126,246,
10/1/2024 6:13,97,270,
10/2/2024 19:11,87,356,
10/3/2024 15:08,91,464,
10/4/2024 12:12,85,229,
10/5/2024 23:04,143,157,
10/6/2024 1:35,139,344,
10/7/2024 13:39,142,138,
10/8/2024 10:34,98,329,
10/9/2024 7:57,82,244,
10/10/2024 13:11,140,189,
10/11/2024 12:31,90,373,
10/12/2024 1:12,138,353,
10/13/2024 6:48,109,106,
10/14/2024 7:59,85,337,
10/15/2024 21:49,59,312,
10/16/2024 18:18,111,343,
10/17/2024 0:47,79,126,
10/18/2024 16:24,136,359,
10/19/2024 20:12,132,435,
10/20/2024 11:58,79,474,
10/21/2024 6:14,94,391,
10/22/2024 19:11,75,453,
10/23/2024 9:51,122,223,
10/24/2024 7:05,91,407,
10/25/2024 20:05,69,221,
10/26/2024 21:43,137,114,
10/27/2024 21:03,94,141,
10/28/2024 5:05,112,498,
10/29/2024 10:39,127,193,
10/30/2024 19:39,134,123,
10/31/2024 22:30,70,393,
11/1/2024 2:19,131,368,
11/2/2024 10:45,72,244,
11/3/2024 5:38,124,420,
11/4/2024 15:48,101,436,
11/5/2024 12:27,93,497,
11/6/2024 6:53,98,455,
11/7/2024 5:04,74,489,
11/8/2024 20:23,71,389,
11/9/2024 4:27,91,410,
11/10/2024 15:22,105,346,
11/11/2024 5:43,149,227,
11/12/2024 21:34,57,497,
11/13/2024 7:30,61,209,
11/14/2024 14:14,79,302,
11/15/2024 20:18,130,360,
11/16/2024 11:34,77,475,
11/17/2024 5:47,123,337,
11/18/2024 10:28,148,435,
11/19/2024 20:22,112,255,
11/20/2024 9:10,102,358,
11/21/2024 21:31,81,128,
11/22/2024 10:02,88,436,
11/23/2024 21:45,105,370,
11/24/2024 0:51,66,433,
11/25/2024 20:19,125,458,
11/26/2024 0:29,102,175,
11/27/2024 20:42,55,233,
11/28/2024 13:47,102,176,
11/29/2024 1:43,63,306,
11/30/2024 19:26,138,307,
12/1/2024 6:25,104,218,
12/2/2024 5:25,79,198,
12/3/2024 20:22,138,262,
12/4/2024 5:02,141,243,
12/5/2024 0:04,117,439,
12/6/2024 16:35,52,355,
12/7/2024 20:27,106,373,
12/8/2024 13:22,92,458,
12/9/2024 23:50,143,267,
12/10/2024 9:46,50,204,
12/11/2024 18:26,54,487,
12/12/2024 8:30,135,350,
12/13/2024 20:29,95,331,
12/14/2024 18:00,58,223,
12/15/2024 15:26,121,396,
12/16/2024 11:17,144,197,
12/17/2024 22:31,72,498,
12/18/2024 11:55,140,219,
12/19/2024 3:33,113,344,
12/20/2024 17:20,70,254,
12/21/2024 19:51,143,478,
12/22/2024 3:40,103,140,
12/23/2024 5:30,136,425,
12/24/2024 18:23,54,463,
12/25/2024 6:15,128,403,
12/26/2024 7:51,72,466,
12/27/2024 22:52,143,126,
12/28/2024 10:04,50,302,
12/29/2024 15:32,141,109,
12/30/2024 11:24,121,343,
12/31/2024 2:10,148,281,
1/1/2025 17:08,116,275,
1/2/2025 16:18,93,478,
1/3/2025 19:49,114,352,
1/4/2025 23:26,75,494,
1/5/2025 12:52,82,254,
1/6/2025 16:34,77,326,
1/7/2025 12:20,83,241,
1/8/2025 20:14,84,451,
1/9/2025 15:13,61,316,
1/10/2025 13:37,105,257,
1/11/2025 18:39,106,142,
1/12/2025 3:08,89,169,
1/13/2025 19:14,144,338,
1/14/2025 13:39,117,247,
1/15/2025 5:12,144,428,
1/16/2025 3:51,104,229,
1/17/2025 17:30,115,300,
1/18/2025 19:26,75,187,
1/19/2025 4:29,120,140,
1/20/2025 6:46,102,429,
1/21/2025 19:49,120,189,
1/22/2025 17:33,138,195,
1/23/2025 19:33,52,370,
1/24/2025 15:20,121,186,
1/25/2025 14:55,142,136,
1/26/2025 19:48,84,364,
1/27/2025 6:35,121,314,
1/28/2025 17:16,149,337,
1/29/2025 12:49,51,348,
1/30/2025 16:14,107,394,
1/31/2025 6:20,133,347,
2/1/2025 7:53,77,291,
2/2/2025 17:38,54,132,
2/3/2025 10:05,52,275,
2/4/2025 23:23,79,132,
2/5/2025 5:44,100,133,
2/6/2025 0:04,121,202,
2/7/2025 22:38,131,473,
2/8/2025 1:59,61,108,
2/9/2025 20:04,112,193,
2/10/2025 0:49,53,290,
2/11/2025 17:06,59,452,
2/12/2025 10:49,52,284,
2/13/2025 23:51,77,158,
2/14/2025 13:30,129,324,
2/15/2025 23:49,62,438,
2/16/2025 20:31,116,345,
2/17/2025 7:11,112,106,
2/18/2025 19:18,60,186,
2/19/2025 8:29,64,265,
2/20/2025 17:43,91,117,
2/21/2025 22:37,63,470,
2/22/2025 5:00,122,421,
2/23/2025 15:11,89,247,
2/24/2025 18:21,94,313,
2/25/2025 22:07,98,332,
2/26/2025 2:20,112,401,
2/27/2025 9:33,57,294,
2/28/2025 17:13,54,217,
3/1/2025 20:04,102,117,
3/2/2025 23:41,50,163,
3/3/2025 5:20,74,289,
3/4/2025 13:16,122,211,
3/5/2025 9:43,117,439,
3/6/2025 15:16,137,314,
3/7/2025 15:30,103,245,
3/8/2025 19:31,137,344,
3/9/2025 5:40,92,488,
3/10/2025 13:37,88,305,
3/11/2025 7:17,133,397,
3/12/2025 0:16,146,336,
3/13/2025 21:11,60,374,
3/14/2025 14:46,73,212,
3/15/2025 1:01,110,401,
3/16/2025 8:26,119,263,
3/17/2025 6:41,81,307,
3/18/2025 5:41,54,143,
3/19/2025 19:54,62,219,
3/20/2025 3:33,129,175,
3/21/2025 6:03,54,385,
3/22/2025 3:57,80,422,
3/23/2025 5:10,115,316,
3/24/2025 18:57,114,216,
3/25/2025 3:25,82,355,
3/26/2025 0:24,77,152,
3/27/2025 17:39,115,277,
3/28/2025 9:41,99,379,
3/29/2025 19:05,127,325,
3/30/2025 3:03,126,385,
3/31/2025 9:25,145,478,
3/31/2025 10:25,80,175,
3/31/2025 11:25,115,385,banna
3/31/2025 12:25,114,422,
3/31/2025 13:25,82,316,
3/31/2025 14:25,77,216,Orange
3/31/2025 15:25,115,355,
3/31/2025 16:25,99,152,
3/31/2025 17:25,127,277,
3/31/2025 18:25,126,379,
